fix_identifier,state,description
ADOBE,OKLAHOMA,HBR*C*234.20/27.61 34-39-53.6400N 099-33-56.5200W
ADOFO,TENNESSEE,35-04-39.2000N 088-13-53.7400W
ADOGE,WYOMING,41-40-01.2300N 106-38-15.9000W
ADOJA,WASHINGTON,45-58-16.4100N 121-21-37.0000W
ADOKE,ARKANSAS,36-26-27.7300N 093-07-59.3200W
ADOKY,ALABAMA,32-09-39.8900N 088-13-47.1400W
ADOLE,NEW YORK,42-38-46.0900N 073-50-47.8500W
ADOMS,SOUTH CAROLINA,ALD*V*115.00 CHS*C*251.00/26.17 32-42-56.4400N 080-30-36.2700W
ADOMY,MINNESOTA,47-42-13.1800N 096-27-20.7700W
ADONY,ALABAMA,32-31-28.4000N 085-26-10.0000W
ADOOR,FLORIDA,ORL*C*070.00/155.00 29-24-00.2700N 078-33-20.5000W
ADOPE,OFFSHORE PACIFIC,28-30-50.0000N 148-49-30.0000W
ADOPT,TEXAS,29-18-39.6000N 100-43-12.2800W
ADORE,CALIFORNIA,33-54-28.3000N 118-29-28.0900W
ADORY,TEXAS,33-27-17.4700N 102-22-32.9500W
ADOSE,ILLINOIS,JVL*D*221.29/16.59 PJE*LD*054.21/12.47 42-21-34.9800N 089-21-56.5500W
ADOTE,FLORIDA,26-04-35.8100N 080-06-33.2900W
ADOVE,CALIFORNIA,34-02-16.4000N 117-05-46.8000W
ADOWA,OFFSHORE PACIFIC,13-42-26.0000N 165-49-35.0000W
ADOWN,NORTH CAROLINA,35-26-17.1400N 081-40-55.8700W
ADOWS,OKLAHOMA,END*C*174.34/15.00 END*LS*S CRS 36-05-40.6900N 097-54-53.3700W
ADOYU,DELAWARE,DOV*T*024.00/0.80 39-08-43.6300N 075-27-49.8400W
ADOZO,NEW MEXICO,CIM*C*181.47/5.30 36-24-20.6800N 104-53-57.6300W
ADRAN,PENNSYLVANIA,41-09-37.1000N 079-31-36.3200W
ADREW,ALASKA,FYU*C*009.87/183.89 69-10-10.8300N 141-00-09.1300W
ADRIE,MICHIGAN,42-57-29.8000N 083-06-49.8400W
ADRIW,MISSOURI,37-44-04.2200N 089-41-12.8500W
ADROW,WEST VIRGINIA,39-11-25.3600N 081-38-09.6200W
ADRRI,VIRGINIA,RIC*C*008.00/11.01 37-41-09.7400N 077-19-27.5200W
ADRUM,NEBRASKA,HSI*D*323.99 GRI*D*248.91/16.14 40-55-04.6900N 098-39-32.1100W
ADRYN,CALIFORNIA,33-55-08.5800N 117-33-40.7500W
ADTIL,OFFSHORE PACIFIC,34-58-42.0000N 134-42-14.0000W
ADTIN,GUAM,UAM*T*240.00/17.00 13-27-26.9600N 144-41-23.4900E
ADTOP,ALABAMA,32-23-15.9100N 088-02-13.0800W
ADTOQ,ALASKA,70-23-55.6800N 150-43-53.0500W
ADUBE,FLORIDA,26-00-44.7100N 080-51-06.5400W
ADUBY,FLORIDA,30-39-23.8500N 085-38-19.1900W
ADUCA,ARKANSAS,33-24-45.8400N 091-22-15.1600W
ADUCI,OFFSHORE ATLANTIC,31-21-29.1800N 077-49-20.7700W
ADUCU,CALIFORNIA,38-11-54.5000N 122-23-56.4800W
ADUDE,CALIFORNIA,JLI*C*070.00/21.00 33-10-13.1800N 116-10-13.9800W
ADUFO,,PNI*RD*294.40/30.00 07-14-37.9400N 157-46-21.5800E
ADUGE,CALIFORNIA,38-50-24.1300N 122-34-11.2500W
ADUKE,TEXAS,LFK*C*025.64 AEX*C*290.52/95.58 31-52-56.7500N 094-12-59.2800W
ADUMM,OFFSHORE PACIFIC,33-51-59.9700N 128-47-04.3600W
ADUMY,NEW MEXICO,36-42-09.8200N 107-54-43.9300W
ADUNC,GEORGIA,30-52-28.5800N 083-11-46.3100W
ADUNE,CALIFORNIA,33-29-11.6700N 117-12-39.6900W
ADUPE,MARYLAND,39-31-35.7100N 077-22-57.5400W
ADUPY,KENTUCKY,LOZ*D*266.47/3.07 LOZ*LD*237.31/6.36 37-01-38.3200N 084-10-24.5800W
ADUTE,NORTH DAKOTA,48-17-16.7000N 099-49-55.7300W
ADUVE,WASHINGTON,48-07-30.0900N 122-36-45.5800W
ADUWU,NEBRASKA,42-08-38.4200N 097-36-10.3100W
ADUWY,CALIFORNIA,38-57-18.4100N 123-00-26.9300W
ADUXE,CALIFORNIA,34-45-26.8200N 114-36-45.8100W
ADUYA,FLORIDA,30-35-44.5900N 081-38-27.6500W
ADVAY,INDIANA,TTH*C*049.99 VHP*C*310.98/9.71 39-55-22.7300N 086-31-26.0400W
ADVIK,,45-08-04.0000N 074-46-33.0000W
ADVLL,PUERTO RICO,18-07-05.2100N 065-49-42.2900W
ADWAT,NEVADA,39-00-00.0000N 118-30-00.0000W
ADWEL,ALABAMA,31-15-23.0000N 085-57-50.8800W
ADWOT,ARIZONA,33-25-43.9300N 112-04-08.1200W
ADWOW,OKLAHOMA,35-29-34.9600N 097-42-32.6800W
ADXAB,OREGON,45-38-19.1700N 118-44-40.6100W
ADXAC,WASHINGTON,YKM*C* /10.60 YKM*LD*W CRS 46-36-23.4000N 120-41-43.2000W
ADYAN,ARIZONA,IWA*C*055.22/95.00 33-52-45.1500N 109-53-07.4600W
ADYMS,WASHINGTON,46-25-34.2200N 121-09-32.2900W
ADYOS,NEW MEXICO,35-02-51.5400N 106-55-28.9800W
ADYTA,TEXAS,28-25-14.2800N 099-10-36.8200W
ADZAB,KENTUCKY,38-34-54.3300N 083-37-19.8500W
ADZIN,ALABAMA,VUZ*C*136.51/39.34 ASN*LD*218.38/29.43 33-10-36.9900N 086-22-56.2000W
ADZUY,ALABAMA,EUF*C*176.00/4.00 31-53-00.5100N 085-07-40.1100W
AECIA,CALIFORNIA,33-30-05.8900N 117-08-40.8400W
AEDES,IDAHO,43-36-42.4400N 116-21-32.2800W
AEGIS,CALIFORNIA,33-46-33.2300N 116-26-41.9100W
AEJAY,ARIZONA,33-22-29.1000N 111-28-35.3800W
AEONS,COLORADO,BJC*D*103.73/1.85 39-54-00.2400N 105-06-09.7900W
AERIC,,DXO*D* /12.02 DMI*LS*095.72 42-13-16.1400N 083-05-50.4600W
AEROS,OHIO,BSV*D*226.00/20.00 40-29-32.7100N 081-43-28.1800W
AEROZ,TEXAS,30-42-13.4800N 098-51-49.1000W
AERRO,CALIFORNIA,PSP*C*298.90/40.67 34-19-19.3700N 117-02-20.2100W
AEVON,NEW YORK,42-54-47.4200N 077-51-50.1300W
AFAGA,OHIO,39-21-02.1800N 081-33-19.7700W
AFAGU,INDIANA,41-05-22.9200N 086-18-01.2400W
AFAJE,MISSOURI,37-34-46.4100N 093-50-48.4100W
AFARR,FLORIDA,CRG*C*316.09/7.13 30-25-12.8700N 081-36-37.2400W
AFAVO,OKLAHOMA,34-48-23.2800N 099-18-48.8300W
AFAYA,INDIANA,41-41-14.0400N 086-35-05.4300W
AFBUL,TEXAS,31-51-11.2000N 103-16-31.9900W
AFDUC,COLORADO,BRK*D*090.80/8.00 38-55-26.2600N 104-27-52.6600W
AFEBE,ILLINOIS,38-28-20.5100N 089-43-57.1500W
AFECY,INDIANA,41-12-27.2500N 085-07-37.8600W
AFELO,NEBRASKA,40-30-02.2200N 099-54-05.8200W
AFENY,ALABAMA,EUF*C*007.00/4.00 32-00-58.4100N 085-07-05.7900W
AFERO,WISCONSIN,45-37-57.9900N 088-16-08.6500W
AFFIC,IOWA,42-03-33.4400N 093-42-16.6600W
AFFTR,MICHIGAN,42-37-28.5800N 083-08-10.2200W
AFGUZ,ILLINOIS,39-10-01.4000N 089-26-03.8300W
AFHAS,MASSACHUSETTS,41-11-36.2600N 070-20-45.7100W
AFITY,TEXAS,31-42-21.3900N 103-08-00.0500W
AFIVA,CALIFORNIA,37-46-24.6000N 122-22-32.3700W
AFJEF,MICHIGAN,42-58-56.3600N 084-29-12.6600W
AFJEJ,LOUISIANA,31-24-11.3700N 092-36-52.5400W
AFJIM,MINNESOTA,BJI*LD*073.01/6.37 47-32-08.1300N 094-47-49.4200W
AFKEZ,NEW YORK,42-05-19.7200N 076-38-20.5200W
AFLAK,OHIO,41-14-59.5300N 084-16-02.0300W
AFLAT,VIRGINIA,38-01-31.4900N 078-17-40.0200W
AFLIH,KANSAS,38-56-37.0400N 098-14-27.0700W
AFLUC,ALABAMA,31-23-02.6900N 085-31-43.7500W
AFMAG,WYOMING,41-37-04.7800N 104-44-01.6200W
AFMUG,VIRGINIA,LFI*T*078.04/18.00 37-11-50.5400N 076-00-40.1800W
AFOGO,COLORADO,BRK*D*009.70/8.00 39-04-17.9000N 104-34-53.0900W
AFONE,OFFSHORE PACIFIC,25-18-00.0000N 132-09-42.0000W
AFOOT,ILLINOIS,42-19-54.2800N 089-52-31.5800W
AFOPY,NEW JERSEY,40-38-30.7700N 074-22-37.0500W
AFORD,OKLAHOMA,TUL*C*340.00/7.00 36-18-37.9300N 095-49-05.2300W
AFOXY,CALIFORNIA,GVO*C*306.81/5.82 34-36-31.2600N 120-09-43.6700W
AFOYU,,06-39-25.8600N 158-35-06.1900E
AFPAD,ALABAMA,32-32-24.8500N 087-52-14.0100W
AFPAM,ARKANSAS,36-24-56.8600N 092-58-26.5000W
AFPIV,ALASKA,54-00-06.9600N 166-34-21.4900W
AFRED,VERMONT,43-39-05.0200N 073-24-21.7700W
AFRIT,TEXAS,PNH*C*246.50/11.00 35-11-08.8800N 101-54-52.3900W
AFRUH,TEXAS,LFK*C*353.59/16.83 31-26-36.8000N 094-43-29.9000W
AFSIC,NEBRASKA,42-19-35.1200N 098-31-08.7500W
AFSUJ,OKLAHOMA,34-59-24.3500N 096-50-03.4600W
AFTEL,WYOMING,41-25-23.9600N 106-53-15.7500W
AFTEN,TENNESSEE,SUG*C*346.00 HMV*C*233.44/25.84 36-09-21.2800N 082-32-01.3200W
AFTIN,CALIFORNIA,SGD*C*275.93/7.00 PYE*D*045.75 38-13-29.2300N 122-30-34.1900W
AFTOR,ILLINOIS,39-58-22.8800N 088-21-07.0500W
AFTRR,COLORADO,39-38-22.5500N 104-51-14.5400W
AFTYN,MINNESOTA,44-51-52.4400N 092-47-48.9300W
AFUFI,GEORGIA,31-46-18.0700N 083-15-04.2400W
AFUGU,NEBRASKA,41-28-41.7800N 096-11-13.6700W
AFUNI,MINNESOTA,46-12-57.3800N 094-02-43.3500W
AFUWA,TEXAS,29-23-33.4800N 095-07-12.8600W
AFUWY,VIRGINIA,38-11-49.0400N 077-14-07.2700W
AFVEK,ALASKA,54-59-26.0100N 162-30-04.4100W
AFWAF,ALASKA,HOM*D*353.00/11.19 59-53-36.8900N 151-24-18.3200W
AFWOX,WYOMING,42-31-02.7800N 104-36-35.7100W
AFXAD,WEST VIRGINIA,39-30-29.2200N 079-59-56.0400W
AFXEW,FLORIDA,30-32-07.0700N 081-48-37.4600W
AFXUR,ARIZONA,33-38-28.6500N 111-53-59.5100W
AFYAB,WYOMING,IIP*D*314.71/40.92 DDY*D*056.44/25.40 43-14-42.6300N 105-44-18.0700W
AGACE,WISCONSIN,44-17-57.7400N 087-53-13.4200W
AGACI,INDIANA,GUS*C*089.96/16.00 40-39-13.9900N 085-48-05.3600W
AGACO,MASSACHUSETTS,BAF*C*027.52/1.08 BAF*LS*024.22 42-10-46.0200N 072-42-37.9600W
AGADA,VIRGIN ISLANDS,STT*D*070.00 COY*D*029.00 18-43-50.8900N 064-20-25.9700W
AGAFI,ALASKA,GAL*D*077.08/3.02 64-44-19.0200N 156-39-35.0600W
AGAIN,TEXAS,31-37-23.5700N 097-58-28.0100W
AGAKE,ILLINOIS,38-47-34.6900N 088-14-10.7200W
AGALE,ALASKA,66-34-35.8000N 145-13-40.0400W
AGANE,WASHINGTON,CJL*LD*344.34*N CRS/15.79 47-42-02.7700N 122-18-57.0100W
AGAPE,CALIFORNIA,NUQ*LD*141.72/16.94 37-08-28.5900N 121-54-26.5800W
AGARD,MARYLAND,OOD*C*235.39 SIE*C*276.40/59.40 39-02-36.8900N 076-04-11.1400W
AGARS,WYOMING,43-50-40.8400N 104-16-28.7500W
AGAST,MISSOURI,COU*D*052.97 HLV*C*154.00/12.50 38-55-03.1900N 092-02-12.9800W
AGASY,NORTH CAROLINA,36-17-07.0100N 078-28-29.9300W
AGATT,NEBRASKA,41-11-03.0400N 096-00-50.9200W
AGAWA,CONNECTICUT,CEF*T*232.00/13.00 42-01-35.7600N 072-42-19.0700W
AGAXE,TEXAS,29-51-01.4800N 095-53-54.8400W
AGAZY,TEXAS,FST*C*273.00/61.55 PEQ*D*229.55/33.18 HUP*C*097.00/67.50 31-11-44.2100N 104-08-10.1400W
AGBAH,SOUTH DAKOTA,RCA*T* /1.91 ELR*LS*310.06 44-09-52.8500N 103-07-40.9600W
AGBOW,MISSISSIPPI,33-44-59.7000N 088-34-18.2700W
AGCAP,OHIO,40-26-34.4800N 080-37-48.3400W
AGCOV,ILLINOIS,37-57-56.8800N 089-49-26.4700W
AGDOX,,43-17-03.3763N 079-06-16.0147W
AGEBE,OHIO,39-24-53.0000N 084-46-48.0000W
AGECU,NORTH DAKOTA,47-51-30.7300N 097-24-02.9200W
AGEDE,UTAH,41-43-06.9600N 112-11-45.0800W
AGEGE,ARKANSAS,33-32-59.2700N 093-36-35.1800W
AGEHO,GEORGIA,FFC*LD*133.14/2.80 33-20-04.5200N 084-32-14.8500W
AGEKE,CALIFORNIA,BAB*T*333.00/1.50 39-09-33.6900N 121-26-48.8000W
AGEKY,NEBRASKA,40-50-03.5300N 098-07-27.4400W
AGEME,ALASKA,68-11-23.6600N 152-25-29.0700W
AGENE,NEW JERSEY,40-05-15.9400N 074-03-43.7800W
AGENS,IOWA,OTM*D*262.88 OTM*LS*135.97 41-01-43.7800N 092-20-50.2500W
AGENT,MISSOURI,IRK*C*248.36/111.41 MCI*C*333.17/21.03 39-36-38.8800N 094-54-20.5600W
AGEPE,ALASKA,ENM*D*127.84/38.34 62-16-51.8700N 163-38-32.9200W
AGERE,ARIZONA,33-14-45.8000N 112-27-21.6400W
AGERS,FLORIDA,26-22-36.2300N 080-13-39.9300W
AGESE,ALASKA,55-32-44.1900N 132-02-34.1300W
AGETE,ARKANSAS,33-30-18.0300N 092-09-28.5600W
AGETY,IOWA,42-05-41.2800N 092-55-19.9300W
AGEVE,TEXAS,30-37-39.6500N 094-56-21.7800W
AGEXY,KANSAS,EMP*C*236.93/14.12 38-11-27.7300N 096-24-30.3800W
AGEYU,MICHIGAN,42-42-25.2900N 085-26-21.0700W
AGFAR,MAINE,44-01-28.3000N 070-13-27.4400W
AGFEF,ARKANSAS,35-51-05.0300N 092-00-54.0900W
AGFUB,NEW YORK,42-32-23.2700N 077-02-42.8500W
AGGID,ARIZONA,EED*C*334.59/16.00 35-01-43.3100N 114-31-59.0000W
AGGIE,OKLAHOMA,TUL*C*261.50/11.00 36-11-40.0000N 096-00-52.5700W
AGGLA,ARIZONA,33-19-25.1100N 112-21-26.9400W
AGGOV,ALASKA,59-45-02.2400N 157-25-38.3000W
AGHAN,NEBRASKA,41-14-52.9400N 100-54-09.4100W
AGHOD,WISCONSIN,45-12-29.9700N 091-37-20.3000W
AGIBE,DELAWARE,ENO*C*170.00/18.00 38-56-51.6500N 075-23-26.6300W
AGICU,WASHINGTON,46-17-10.2000N 123-29-05.4000W
AGIGE,ALASKA,SSR*C*296.86/12.00 58-19-22.7700N 135-31-05.4900W
AGIGY,TENNESSEE,36-33-02.1500N 084-31-04.2800W
AGIME,COLORADO,38-29-41.4300N 108-25-13.1900W
AGING,OHIO,40-27-17.5900N 082-29-28.9300W
AGIPE,MINNESOTA,47-59-56.1500N 096-16-08.6200W
AGIRE,OFFSHORE PACIFIC,08-45-08.0000N 132-27-35.0000E
AGISM,OKLAHOMA,34-07-20.8600N 095-32-32.3100W
AGISY,TENNESSEE,36-03-00.2700N 087-37-35.0500W
AGITY,WASHINGTON,46-32-45.6900N 120-27-14.3500W
AGIVE,ALASKA,64-49-38.7400N 154-35-59.2600W
AGIXE,MAINE,44-30-18.6600N 070-24-33.3400W
AGIYU,CALIFORNIA,34-39-46.8600N 120-17-17.3000W
AGIZU,LOUISIANA,31-08-39.8600N 092-19-53.9400W
AGKIP,INDIANA,38-08-03.0000N 087-12-04.7400W
AGLER,FLORIDA,VIN*LD*092.39/6.69 25-48-20.4000N 080-10-50.4000W
AGLEY,MISSISSIPPI,NMM*T*205.00/3.90 32-31-06.1700N 088-34-30.9600W
AGLIC,UTAH,37-07-38.3300N 113-32-55.0500W
AGLOW,VIRGINIA,37-25-11.5100N 079-11-30.0900W
AGLUY,GEORGIA,AYS*C*064.14 AYS*LS*004.24 31-20-04.5200N 082-23-58.5800W
AGMEQ,GEORGIA,31-09-16.0000N 082-23-48.5800W
AGMEW,MONTANA,45-45-19.3800N 110-17-24.7500W
AGMIB,MONTANA,48-13-30.9800N 106-28-19.9600W
AGMIF,OFFSHORE PACIFIC,77-00-00.0000N 141-00-00.0000W
AGMIV,ALASKA,CZF*R*231.10 CZF*OD* /1.80 61-45-22.0700N 166-05-26.1900W
AGNAQ,MINNESOTA,43-57-54.4600N 092-19-53.5000W
AGNAS,NORTH CAROLINA,FAY*D*095.21/20.00 34-58-40.1600N 078-28-10.2500W
AGNEZ,NEW YORK,DNY*D*095.99 ALB*C*221.80/35.65 42-13-32.7100N 074-11-18.7500W
AGNOL,OFFSHORE PACIFIC,73-30-00.0000N 168-58-24.0000W
AGNSS,NEW JERSEY,JNN*LD*038.83/8.70 40-50-07.7500N 074-04-38.7500W
AGNUC,OKLAHOMA,35-23-10.2100N 095-05-35.7200W
AGNUS,ILLINOIS,39-13-22.8100N 089-45-15.4400W
AGNUT,NEVADA,BLD*C*246.62/8.13 LAS*C*119.24 35-58-33.2300N 115-01-43.4300W
AGOBE,NEW YORK,42-03-41.6800N 078-38-40.5700W
AGODY,,15-12-11.5400N 145-56-31.7900E
AGOKE,KANSAS,39-12-53.4800N 096-35-26.2700W
AGOKY,MINNESOTA,45-35-24.2000N 093-57-10.4600W
AGOLE,NORTH CAROLINA,35-45-35.4900N 078-26-52.9300W
AGOLY,,09-30-03.5800N 167-35-20.7200E
AGOMA,WISCONSIN,GRB*C*084.66/25.43 44-35-08.6100N 087-36-12.8900W
AGOME,ARKANSAS,36-11-24.0000N 091-38-01.1700W
AGOMY,GEORGIA,31-49-43.6000N 081-39-00.5500W
AGONE,ALASKA,59-37-26.1800N 154-57-11.8400W
AGONY,IOWA,41-51-24.6700N 090-32-32.9600W
AGOPE,TEXAS,31-45-42.9000N 106-10-26.4200W
AGOPY,IOWA,41-37-30.3000N 094-05-34.0900W
AGOSE,INDIANA,38-47-00.6500N 086-21-21.4300W
AGOST,WISCONSIN,43-02-22.2000N 089-36-47.8800W
AGOTE,ARKANSAS,34-55-09.5100N 091-02-54.2300W
AGOVY,PENNSYLVANIA,40-01-05.8500N 078-23-56.5800W
AGOZE,SOUTH CAROLINA,SMS*LD*050.17/6.33 34-03-54.7500N 080-16-59.3000W
AGPAL,,54-31-35.2963N 130-47-53.9728W
AGRAS,OKLAHOMA,35-21-14.8600N 096-41-58.4000W
AGREE,ILLINOIS,41-22-36.9500N 087-47-23.1600W
AGRUF,CALIFORNIA,34-58-30.9400N 118-15-45.7500W
AGRYN,MONTANA,CTB*D*072.86/19.39 48-33-53.0300N 111-51-24.6100W
AGSEQ,KANSAS,37-34-46.6400N 097-05-10.7900W
AGSIH,ALASKA,63-52-28.5600N 160-47-27.3700W
AGTOW,ARKANSAS,33-40-42.9900N 092-44-58.3900W
AGUBE,INDIANA,40-11-16.1000N 084-48-46.1900W
AGUBY,MISSISSIPPI,33-02-50.3700N 089-02-30.3300W
AGUCI,ALASKA,59-12-22.2300N 135-28-35.7300W
AGUCO,ILLINOIS,41-59-23.9700N 089-13-23.3600W
AGUDE,WISCONSIN,GEP*C*085.00/41.69 EAU*C*286.00/41.29 45-07-45.6800N 092-23-30.9900W
AGUDY,ARKANSAS,35-28-26.8600N 092-04-34.5100W
AGUFY,SOUTH DAKOTA,43-14-45.6500N 099-38-42.6300W
AGUGE,VERMONT,43-29-51.3100N 072-32-52.3200W
AGUME,GEORGIA,31-59-57.7000N 083-52-54.3000W
AGUMY,IDAHO,48-26-30.5900N 116-57-57.0800W
AGUNE,OFFSHORE ATLANTIC,38-06-29.0000N 072-50-02.0000W
AGURA,,67-27-52.0000N 168-58-24.0000W
AGURY,TENNESSEE,36-01-45.7900N 085-43-25.0600W
AGUSE,FLORIDA,MCF*T*075.00/22.00 27-59-32.5600N 082-07-36.5600W
AGUVE,SOUTH CAROLINA,CAE*C*306.46 CAE*LD*291.66/7.29 33-58-05.3200N 081-14-53.1000W
AGUYA,VIRGINIA,37-02-35.6800N 077-19-05.5600W
AGUYI,MINNESOTA,43-50-01.2200N 092-56-17.9500W
AGUYU,INDIANA,39-32-42.7200N 086-48-57.6600W
AGVOY,MISSOURI,38-59-58.2000N 092-07-33.4700W
AGVUW,ARKANSAS,35-59-56.4200N 089-49-55.8800W
AGXAN,ALASKA,BRW*D*077.48/16.00 BRW*LD*080.00/14.96 71-16-59.8400N 155-57-43.2900W
AGZAF,,47-19-24.2700N 068-25-46.3900W
AGZED,ILLINOIS,41-57-57.0800N 087-49-06.4400W
AHABB,FLORIDA,26-48-32.7000N 080-01-26.8500W
AHAFY,VIRGINIA,37-59-22.8700N 079-45-14.3400W
AHAMU,OKLAHOMA,34-42-09.7100N 095-51-51.3600W
AHART,CALIFORNIA,BAB*T*333.00/12.00 39-19-52.6300N 121-29-23.7800W
AHASI,ARKANSAS,34-38-21.3400N 092-14-28.5400W
AHASS,TEXAS,31-55-50.9300N 103-21-03.1800W
AHAYY,OFFSHORE ATLANTIC,36-56-19.0000N 072-52-58.0000W
AHCIN,WEST VIRGINIA,EKN*C*186.16/12.00 38-42-51.3500N 080-05-43.8900W
AHCUJ,ALASKA,64-26-07.9600N 162-30-07.7800W
AHEFY,SOUTH CAROLINA,32-45-19.9200N 080-29-26.4800W
AHEHU,IDAHO,45-23-44.8500N 113-53-59.7400W
AHEIM,CALIFORNIA,SLI*C*057.71/7.48 POM*C*187.00/16.67 33-49-13.1300N 117-54-43.0100W
AHELU,MISSISSIPPI,30-31-01.2700N 089-03-59.8200W
AHESU,TEXAS,29-22-43.6900N 096-20-35.5700W
AHEWY,ARKANSAS,34-23-24.8300N 092-42-29.5200W
AHFAX,ALASKA,68-04-52.9700N 162-50-52.4600W
AHGAW,ARIZONA,IGM*D*010.00/8.00 35-22-53.5800N 113-51-54.6100W
AHGOL,INDIANA,41-33-13.1500N 086-00-19.7500W
AHHIC,ARIZONA,31-28-38.6500N 110-53-20.0600W
AHHOT,MAINE,47-14-50.0400N 068-11-43.3400W
AHHUJ,NEBRASKA,41-02-06.3400N 101-52-48.6600W
AHIDO,GEORGIA,32-11-56.8400N 081-37-45.1200W
AHIEO,MINNESOTA,44-05-29.2800N 094-46-46.2000W
AHILO,ARIZONA,33-43-49.2400N 110-03-04.9200W
AHIMY,ARKANSAS,34-36-15.0600N 091-34-42.5200W
AHINO,TENNESSEE,35-56-12.7500N 086-22-27.8700W
AHIQU,ILLINOIS,39-15-02.0300N 089-55-11.5200W
AHIYI,CALIFORNIA,34-13-34.8800N 118-52-26.7200W
AHIZI,MAINE,46-20-09.3400N 068-08-30.6700W
AHJUN,GEORGIA,30-54-11.3000N 081-24-30.2500W
AHJUP,FLORIDA,27-52-44.4500N 081-51-30.5400W
AHKEB,MARYLAND,38-15-30.9200N 076-21-39.4600W
AHLAB,TEXAS,NGP*T*012.00/1.30 27-42-26.1500N 097-17-18.3300W
AHLER,VIRGINIA,MOL*D*293.61/26.85 HSP*LS*066.83 38-02-32.1100N 079-38-37.6800W
AHLES,MICHIGAN,CRL*D*092.90 RYS*R*224.32 42-02-53.1100N 083-12-26.0000W
AHLEX,CALIFORNIA,PSP*C*260.32/13.00 33-52-56.3300N 116-41-22.5400W
AHLOU,ILLINOIS,41-39-03.0000N 088-07-28.0300W
AHMED,ILLINOIS,PNT*D*348.72 JOT*D*261.41/24.78 BDF*C*057.97/38.47 41-29-51.7100N 088-51-52.0800W
AHMET,OHIO,41-18-48.1000N 081-27-33.4500W
AHMIT,MINNESOTA,FGT*C*178.04/8.00 44-29-52.5900N 093-11-42.6500W
AHMIV,FLORIDA,30-30-57.7200N 081-48-56.1100W
AHNDO,OFFSHORE PACIFIC,24-25-42.0000N 131-24-42.0000W
AHNEM,PENNSYLVANIA,40-23-25.2500N 079-25-17.7900W
AHOBY,OKLAHOMA,36-34-36.1300N 097-16-42.1700W
AHOEY,NORTH CAROLINA,35-00-36.2800N 080-05-55.9300W
AHOFU,SOUTH DAKOTA,43-00-21.3700N 100-41-14.4000W
AHOLA,MAINE,46-03-36.6600N 067-50-48.4900W
AHONE,VIRGINIA,37-29-02.5000N 078-04-18.4100W
AHORE,FLORIDA,26-52-08.3300N 081-12-05.8600W
AHOTO,TEXAS,32-20-45.3000N 094-53-38.8000W
AHOVI,OHIO,41-03-48.1300N 083-16-25.1500W
AHOWW,UTAH,37-07-14.5600N 113-11-34.0400W
AHOYE,KENTUCKY,CNG*D*198.55/16.52 36-45-07.9000N 088-57-45.7500W
AHPAH,NEW YORK,43-18-19.0000N 078-07-35.1100W
AHPAZ,ARIZONA,34-19-11.5700N 109-57-31.2000W
AHRJY,KANSAS,37-49-01.7800N 097-45-21.5800W
AHRON,MAINE,43-40-24.1100N 070-12-20.1200W
AHSTN,ILLINOIS,41-42-45.5800N 088-21-26.4100W
AHTIY,PENNSYLVANIA,AGC*D*225.06 AIR*D*114.00/20.88 39-54-51.8500N 080-23-05.2300W
AHTON,VERMONT,44-45-59.4100N 072-09-48.9900W
AHUCA,KENTUCKY,36-39-27.1200N 085-42-47.7900W
AHUFU,NEBRASKA,41-07-01.4500N 102-04-32.7000W
AHUGE,TEXAS,28-48-39.9600N 097-39-30.5400W
AHUNT,MICHIGAN,SVM*C*163.63/6.00 DXO*D*312.80 42-18-52.1500N 083-32-58.1400W
AHURI,CALIFORNIA,39-16-45.9800N 120-06-26.1700W
AHVUH,ALASKA,GAL*D*151.41/20.00 64-25-10.5000N 156-33-27.7900W
AHYOB,WISCONSIN,ENW*OD* /5.59 ENW*LS*247.75 42-33-21.0900N 088-02-36.5000W
AHZUT,ALASKA,64-57-04.5100N 158-14-12.0200W
AIBIE,OFFSHORE PACIFIC,07-20-50.0000N 133-23-30.0000E
AIBUX,MAINE,44-04-31.8000N 068-44-41.4000W
AICAP,ALASKA,61-10-27.7000N 149-59-46.9000W
AIDER,WASHINGTON,46-25-49.5500N 119-32-47.8400W
AIDIN,ALASKA,58-10-14.7800N 134-29-07.7800W
AIDOT,ALASKA,55-31-27.6100N 132-19-17.3400W
AIGLE,COLORADO,ESJ*LD*069.95*NE CRS/10.83 39-40-23.0900N 106-42-25.9500W
AILED,ALASKA,55-41-11.6100N 132-51-55.2100W
AILEE,ALASKA,ENN*C*170.86/61.00 FAI*C*188.71/83.00 63-36-00.0400N 149-32-23.4600W
AILEN,IOWA,42-04-42.5800N 093-35-11.1400W
AILES,MICHIGAN,APN*C*200.73/17.00 44-48-27.1400N 083-39-05.1300W
AILEY,GEORGIA,DBN*C*157.69/17.94 VNA*C*082.00 32-17-49.8500N 082-40-05.5300W
AIMED,MONTANA,46-18-21.9700N 104-12-17.8500W
AIMEE,TEXAS,NGP*T*327.00/27.00 28-04-36.5500N 097-32-56.7900W
AIMER,FLORIDA,28-09-50.3400N 082-13-35.0500W
AIMES,COLORADO,GLL*D*350.00/5.00 40-35-13.7300N 104-32-50.2400W
AIMHI,NORTH CAROLINA,36-16-26.4000N 078-24-45.9100W
AIMME,MAINE,ENE*D*007.90 PWM*LD*290.30/16.26 43-40-05.9200N 070-40-01.3600W
